EVTOPTA10;Fucking Holy Roman Empire...We gonna get revenge!;x;
EVTNAME11;The Frankish-Dutch-Spanish Pact;x;
EVTDESC11;The war now is over, and we have the oportunity of expand our dominions and put order in the Netherlands, and get more land in the south French terrotories, what we gonna do?;x;
EVTOPTA11;The French Kingdom, haven't any valid reason for enter in the war, give them what they desereve!;x;
EVTOPTB11;We have to be prudent, olny we want the Southern Part of the Dunkirk province;x;
EVTNAME12;The Pact of Berlin;x;
EVTDESC12;After the finish of the Thirty years war, the main conditions were writed in the Verdun Peace, but, theres some conflicts derivated of the war. And Brandemburg-Prussia, wanted to put order calling a convention for the liberation of Lübeck and Hamburg.;x;
EVTOPTA12;We have our plains in the region, disolve the convention!;x;
EVTOPTB12;Well, we can make a pact with de Danish pepole...;x;
EVTNAME13;Coronation of Louis XIV!;x;
EVTDESC13;Today,7 june 1654, Louis XIV have been coronated in the Reims Catedral, it seems there gonna to be good times in France...;x;
EVTOPTA13;Long live to the King of Sun!;x;
EVTNAME14;The Revolution of the Liberty!;x;
EVTDESC14;A few time ago, Brandemburg, unificated the German Protestant States, but the ideals of freedom started in Berlin months ago, and all burst the past week, and a the "Berlín Purple Army", a secret organization, decided to kill lot of innocent pepole only because they were "opresors". Now, the germans have to decide in what side they wanna support.;x;
EVTOPTA14;Support the Monarchy!;x;
EVTOPTB14;Support the Rebels!;x;
EVTNAME15;Our population is not happy;x;
EVTDESC15;Some poor population claimed for a convention with the upper house, and now we can negotiate for a solution.;x;
EVTOPTA15;Support the Empirist population!;x;
EVTOPTB15;Support the Rationalist noblility!;x;
EVTOPTC15;We gonna to be neutrals;x;
EVTNAME16;Diplomatic Incident;x;
EVTDESC16;A few days ago one of our ambassors was victim of an unjust detention in other country. We can take this as a direct war declaration?;x;
EVTOPTA16;Not really, first we can send a diplomatic;x;
EVTNAME17;The Negotiations;x;
EVTDESC17;A few days ago an ambassor was victim of an "unjust detention" in our nation, for our luck, they don't decided to attack us, for now, obiously.;x;
EVTOPTA17;Send they an Ultimatum! If they wanna war, they gonna have war!;x;
EVTOPTB17;Mhhh, just say sorry to the country and pay indemnations.;x;
EVTNAME18;Ultimatum!;x;
EVTDESC18;That pigs decided to send an ultimatum to the country, and they said our king is an idiot, and lot of horrible requisits for a diplomatic solution. This gonna have retaliation...;x;
EVTOPTA18;Obiously!;x;
EVTNAME19;Versailles Palace Construction!;x;
EVTDESC19;The sun king, our majesty, Louis XIV, wont to have a good palace for can relax and make lots of parties, obiously.;x;
EVTOPTA19;Obiously!;x;
EVTNAME20;Fronde Revolution!;x;
EVTDESC20;A few time ago, the French Kingdom started an Absolutist regime, and this don't liked to the population. However, the last week lots of revolutionaries started protests in París, Bordeaux and Toutlouse. Who we gonna support?;x;
EVTOPTA20;Obiously, the monarchists!;x;
EVTOPTB20;It's time to end with the monarchist represion!;x;
EVTNAME21;Molière Returns to Paris!;x;
EVTDESC21;The playwright Jean Baptiste Molière, returned to Paris for perform some plays, as "Le docteur amoureux" and "Corneille Nicomède" for the King in the Louvre;x;
EVTOPTA21;A great day for the french culture!;x;
EVTNAME22;Comédie-Française;x;
EVTDESC22;After the die of the playwright "Jean Baptiste Molière", him company decided to fusione with the rival company, and the King, Louis XIV, make oficial with a decree, the construction of the "Comédie-Française" theater.;x;
EVTOPTA22;A great day for the french culture!;x;
EVTNAME23;Insult from the Sultan!;x;
EVTDESC23;The Sultan of the Ottoman Empire decided to make a genocide against the catholics in the Bosnia region, what Austria shouldm do?;x;
EVTOPTA23;Call to the most important catholic nations!;x;
EVTOPTB23;We have no time for this...;x;
EVTNAME24;Call from the Holy Roman Empire!;x;
EVTDESC24;A few weeks ago the ottoman Sultan decided to make a genocide in the catholic bosniak region and in Jerusalem. We can't able this acts!;x;
EVTOPTA24;Declare the 10th Crusade!;x;
EVTOPTB24;We have no time for this...;x;
EVTNAME25;French Kingdom have agreed!;x;
EVTDESC25;We sended our dipliomats for get the benedicition of the "Roman Papa" and we asked for the help of diferent catholic states, and France agreed to help us to end with the turkish dominion in Europe.;x;
EVTOPTA25;Declare the 10th Crusade!;x;
EVTNAME26;End of the 10th Crusade!;x;
EVTDESC26;After long years of bloody battles the catholic gang won the war, and they decided to liberate some orthodox countries too, hurra!;x;
EVTOPTA26;Oh, shit...;x;
EVTNAME27;The Holy Roman Empire ask for help in their Crusade!;x;
EVTDESC27;After the catholic genocide in Jerusalem and Bosnia, the Holy Roman Empire asked for help of different catholic countries for destroy the Ottomans, who we gonna support?;x;
EVTOPTA27;We aren't gonna be traitors more, long live the catholicism!;x;
EVTOPTB27;Support the ottomans;x;
EVTNAME28;Start the building of a Church!;x;
EVTDESC28;We can start the building of a new church!;x;
EVTOPTA28;Of course!;x;
EVTNAME29;Start the building of a Mosque!;x;
EVTDESC29;We can start the building of a new Mosque!;x;
EVTOPTA29;Of course!;x;
EVTNAME30;The Parlamentarism!;x;
EVTDESC30;A new ideology that wants to attemp against the Absolutist Kingdoms, and, create a parlament, a place, where, the diferent representants of each faction, gonna can debate new laws and matters of state.;x;
EVTOPTA30;Mhhh...;x;
EVTNAME31;The Radicals!;x;
EVTDESC31;A new ideology that wants to attemp against the Absolutist Kingdoms, and, create a new society form the start. This new ideology wants to stablish equalitary governements.;x;
EVTOPTA31;Mhhh...;x;
EVTNAME32;The Neo-Feudalism!;x;
EVTDESC32;A new ideology that wants to return to the old times, this new way of thinking wanna return to the Feudalist system, but with a power a little bit more centralized. The major part of the militants are a lot of Nobility that are fed up of the privileges of the Gentry.;x;
EVTOPTA32;Mhhh... extremly Based;x;
EVTNAME33;Coronation of Mehmed IV!;x;
EVTDESC33;Our new Great Sultan, Mehmed IV, has been coronated today in the Royal Palace of Instabul!;x;
EVTOPTA33;Great, long live the sultan!;x;
EVTNAME34;Fall of Buda;x;
EVTDESC34;After lots and lots, of years of Ottoman controll, the Budapest city has been ocupatied by the catholics. Is this the start of the Ottoman decadence? Anybody knows it.;x;
EVTOPTA34;Oh, thats a very bad notice.;x;
EVTNAME35;Buy of Indulgences to the Pope!;x;
EVTDESC35;For the catholic countries, there's a very broken and good mechanich that consists only on pay some money to the Pope, and lose a few prestige, for lose infamy. Good trade!;x;
EVTOPTA35;I LOVE THE POPE'S CORUPTION IN XVII CENTURY!!!;x;
EVTNAME36;Tension in the Sphere;x;
EVTDESC36;A country decided to start a sublevation, and leaved our sphere of Influence!;x;
EVTOPTA36;Intervine in the country!;x;
EVTOPTB36;Attack them!;x;
EVTOPTC36;There's nothing we can do...;x;
EVTNAME37;Stock Market Crashes!;x;
EVTDESC37;A few days ago the stock crashed in our market, giving lots and lots of bad effects, what we should do?;x;
EVTOPTA37;I'm not an economist!!;x;
EVTOPTB37;Try to work with other states for cooperate.;x;
EVTNAME38;Economical Depresion;x;
EVTDESC38;After the stock market crash, other neighbor nations started a econimical crisis too. Now, the economical crisis only has been expanding into other nations, and we aren't the exception.;x;
EVTOPTA38;Really?!!;x;
EVTNAME39;Private banks system.;x;
EVTDESC39;Two weeks ago, a German economist visited our country for create "Private Banks", a revolutionary idea that gonna change the world.;x;
EVTOPTA39;Well, introduce the system. I hope the population accept it.;x;
EVTOPTB39;No, sorry, show he the country's borders.;x;
EVTNAME40;Investors want to build roads!;x;
EVTDESC40;A group of investors arrived yesterday to the state, and talked with the local governement for the building of a new road.;x;
EVTOPTA40;Accept the proposal!;x;
EVTOPTB40;We don't gonna give a cent! Good luck him.;x;
EVTNAME41;Local Stock Exchange;x;
EVTDESC41;After bad times, the provincial economy has returned to shine!;x;
EVTOPTA41;Yeah, baby.;x;
EVTNAME42;Posibilities of an Economic Boom;x;
EVTDESC42;After bad times, a group of investors wanna to invest money in the country's economy, we accept the offer?;x;
EVTOPTA42;No, thanks;x;
EVTOPTB42;Yeah, baby.;x;
EVTNAME43;Investors want to build roads!;x;
EVTDESC43;A group of investors arrived yesterday to the state, and talked with the local governement for the building of a new road.;x;
EVTOPTA43;Accept the proposal!;x;
EVTOPTB43;We don't gonna give a cent! Good luck him.;x;
EVTNAME44;The Beavers Conflic!;x;
EVTDESC44;After the French occupation of the Quebec region, lots the Europeans started to comerce with the beavers fur, but, because of the massive hunt of this animal, they are a now a very precious recourse. And,the Iroquese tribe, started skirmishes against the tribes under French protection. We have to declare the war!;x;
EVTOPTA44;Obiously!;x;
EVTNAME45;Absolutist Scandal!;x;
EVTDESC45;A scandal triggered in the Absolutist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA45;Ineresting...;x;
EVTNAME46;Rationalist Scandal!;x;
EVTDESC46;A scandal triggered in the Rationalist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA46;Ineresting...;x;
EVTNAME47;Empirist Scandal!;x;
EVTDESC47;A scandal triggered in the Empirist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA47;Ineresting...;x;
EVTNAME48;Reformist Scandal!;x;
EVTDESC48;A scandal triggered in the Reformist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA48;Ineresting...;x;
EVTNAME49;Parlamentarist Scandal!;x;
EVTDESC49;A scandal triggered in the Parlamentarist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA49;Ineresting...;x;
EVTNAME50;Revolutionary Scandal!;x;
EVTDESC50;A scandal triggered in the Revolutionarian Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA50;Ineresting...;x;
EVTNAME51;Neo-Feudalist Scandal!;x;
EVTDESC51;A scandal triggered in the Neo-Feudalist Faction, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA51;Ineresting...;x;
EVTNAME52;Serious Faction Scandal!;x;
EVTDESC52;A scandal triggered in the actual faction is governing, a lover exposed! What's going on in this country?!?;x;
EVTOPTA52;Oh, shit...;x;
EVTNAME53;New Faction Scandal!;x;
EVTDESC53;A scandal triggered in the actual faction is governing, and important event for decided the pepole's opinion about this political group.;x;
EVTOPTA53;What's going on this country?;x;
EVTNAME54;The Pepole Wants To More Press Rights!;x;
EVTDESC54;The parlamentarist faction acuse the rationalist off censure the as rude  ways the press.;x;
EVTOPTA54;What's going on this country?;x;
EVTOPTB54;What's going on this country?;x;
EVTNAME55;Lover Exposed!;x;
EVTDESC55;The lover of a politicman has been exposed on the press these last days;x;
EVTOPTA55;Make it a primice!;x;
EVTOPTB55;Censure it!;x;
EVTNAME56;Circulation Doubles!;x;
EVTDESC56;Having a free press means having to deal with the strangest things. The $COUNTRY_ADJ$ Watchman, a queer little tabloid that sees a fair amount of circulation in one of our states, has published an opinion-piece painting the Foreign Minister out to be a member of a Secret Masonic Sect. While this isn't outside the normal scope of this low-brow nonsense paper, this particular piece of bad writing has recived more attention than usual. People, for one reason or another, actually seem to belive these accusations. Denying the rumors will be seen by the literate upper classes as a giving-in to plebianism, but not denying the rumors will cause said lower-classes to actually believe in them.;x;
EVTOPTA56;Do not deny the rumors;x;
EVTOPTB56;Deny the rumors;x;
EVTOPTC56;But I saw him at the lodge last week...?;x;
EVTNAME57;The Golden Age!;x;
EVTDESC57;The $COUNTRY_ADJ$ culture exploded, the art, the music has been risen. Is an incrdible cultural renassience!;x;
EVTOPTA57;Glory!;x;
EVTNAME58;The Golden Age Smoked!;x;
EVTDESC58;The $COUNTRY_ADJ$ culture smoked from one day to the next, is a shame, but it is what there is.;x;
EVTOPTA58;Oh, that's a shame;x;
EVTNAME59;The Ottoman menance!;x;
EVTDESC59;The Ottomans have the audacy to attack Vienna, for annex the Habsburg. As an catholic nation we can't allow this! Out with the muslims!;x;
EVTOPTA59;Out with the muslims!x;
EVTNAME60;The Integration!;x;
EVTDESC60;After the words of the Catholic bishop of the Church of Rome about the integration of the Spanish and French churches, they were accused of being heretics for wanting to monopolize exorbitant amounts of power. Thus, they have declared themselves independent of the church of Rome. They will be the heretics!!;x;
EVTOPTA60;Well, if they wanna conflict, they gonna have conflict!;x;
EVTNAME61;The Oficial Independence of the Cossacks!;x;
EVTDESC61;The Cossacks won their independence with the Russian help.;x;
EVTOPTA61;Here starts the decadence...;x;
EVTNAME62;Louis XIV Governement!;x;
EVTDESC62;After the coronation of Louis XIV, one of the first things he did was reform the governement, and we have the oportunity to select a faction in the government.;x;
EVTOPTA62;Put the Absolutists in the governement!;x;
EVTOPTB62;Put the Empirists in the governement!;x;
EVTOPTC62;Put the Rationalists in the governement!;x;
EVTOPTD62;Put the Parlamentarist in the governement!;x;
EVTNAME63;The Germans Ask For Buy Venezuela!;x;
EVTDESC63;In a surprising diplomatic move, Germany has proposed purchasing the Venezuelan territory, formerly known as Klein-Venedig, from Spain. This offer presents a difficult choice: relinquish control over a valuable colonial asset in exchange for significant financial compensation, or reject the offer and maintain Spain’s presence in the Americas. The decision could shift the balance of power in the region and alter Spain's colonial future.;x;
EVTOPTA63;Ok, we need money...;x;
EVTOPTB63;NO! How do you kind considere that offer?;x;
EVTNAME64;The Flames of Civil War Ignite;x;
EVTDESC64;England stands at the crossroads of destiny, torn between the divine right of kings and the rising power of the people. The crack of musket fire signals the dawn of a new age, where the banners of King Charles I flutter against the winds of rebellion, and the impassioned voice of Oliver Cromwell calls for liberty and justice. This war is not merely a struggle for the crown—it is the battle for the soul of England, where brother fights brother, and the fate of a nation hangs in the balance.;x;
EVTOPTA64;Long live the mancomunity of Cromwell!;x;
EVTOPTB64;We stand with the monarchy!;x;
EVTNAME65;Restore the Viceroyalties;x;
EVTDESC65;After the last and bloody revolution we can take controll again the viceroyal lands.;x;
EVTOPTA65;Long live Spain!;x;
EVTNAME66;The End of the Holy Roman Empire;x;
EVTDESC66;After nearly a thousand years, the Holy Roman Empire—a patchwork of duchies, kingdoms, and free cities—finally crumbles. Once a symbol of imperial unity and Christian authority, the empire has been weakened by constant warfare, internal divisions, and the rise of powerful nation-states. With Napoleon's campaigns and the growing ambitions of Europe’s great powers, the empire’s ancient institutions are dismantled, and the last emperor relinquishes his crown. The dissolution marks the end of an era where emperors, electors, and princes once reigned over the heart of Europe. In its place, new nations and empires rise from the ashes, eager to fill the vacuum left by the fall of this once-great entity. The echoes of the Holy Roman Empire may linger, but its reign over Europe has come to a final, irrevocable end.;x;
EVTOPTA66;Oh...;x;
EVTNAME67;The End of the Union;x;
EVTDESC67;After nearly a thousand years, the Holy Roman Empire—a patchwork of duchies, kingdoms, and free cities—finally crumbles. Once a symbol of imperial unity and Christian authority, the empire has been weakened by constant warfare, internal divisions, and the rise of powerful nation-states. With Napoleon's campaigns and the growing ambitions of Europe’s great powers, the empire’s ancient institutions are dismantled, and the last emperor relinquishes his crown. The dissolution marks the end of an era where emperors, electors, and princes once reigned over the heart of Europe. In its place, new nations and empires rise from the ashes, eager to fill the vacuum left by the fall of this once-great entity. The echoes of the Holy Roman Empire may linger, but its reign over Europe has come to a final, irrevocable end.;x;
EVTOPTA67;Oh...Great? I don't know how feel now...;x;
EVTNAME68;The Fall of Cromwell's Protectorate;x;
EVTDESC68;After years of rule under the iron hand of Oliver Cromwell, England stands at a crossroads once more. The dream of a republic, born from the ashes of civil war, has begun to fade as the Protectorate crumbles under political instability, public unrest, and the absence of Cromwell's leadership following his death. The once-powerful Commonwealth now falters, unable to hold the factions together. In 1660, the monarchy is restored under Charles II, marking the end of England’s brief experiment with republican rule. The fall of Cromwell’s regime signals the return of royal authority and the restoration of the Stuart dynasty, as the country looks back on years of upheaval and looks forward to an uncertain future under its restored king.;x;
EVTOPTA68;Long live the King!;x;
EVTNAME69;The Triumphant Dawn of the Stuarts;x;
EVTDESC69;The sun rises over England, casting its golden light upon a land united under the victorious banner of the Stuarts. After years of bloodshed and turmoil, the rightful monarchs have reclaimed their throne, their divine right affirmed by God and the strength of their loyal subjects. Bells toll across the kingdom, from the rugged hills of Scotland to the green fields of England, heralding a new era of peace and prosperity. King Charles I, resplendent in royal regalia, is once again seated upon his throne, his reign now more glorious and absolute than ever. The scars of war fade as the realm rejoices, the people embracing their king, their savior, with open hearts. The crown gleams brighter than ever before, and the Stuarts rise like phoenixes, eternal and unbroken. A golden age dawns for England—one of order, loyalty, and the divine grace of monarchy.;x;
EVTOPTA69;God save the King!;x;
EVTNAME70;The Rebellion of the Cromwellian Colonies;x;
EVTDESC70;Far across the seas, in the untamed lands of North America, the flame of Cromwell's legacy refuses to die. The colonies, once loyal to the ideals of republicanism and liberty, rise in defiance of the restored Stuart monarchy. Stirred by memories of Cromwell's rule and emboldened by the distant echoes of freedom, the colonists declare their intent to break free from the tyranny of the crown. What began as whispers of dissent now roars like wildfire through the colonies, as towns and settlements rally under the banner of republicanism. The struggle between the old world of monarchs and the new world of liberty has begun, and the fate of these distant lands will once again be written in the blood of revolution. The spirit of Cromwell lives on, and the colonies will stop at nothing to forge their own destiny.;x;
EVTOPTA70;Fuck them!;x;
EVTNAME71;The Spark of the Hyde Conspiracy;x;
EVTDESC71;Whispers spread through the streets of London and beyond, as Edward Hyde’s intricate web of intrigue begins to unfold. Key royalists secretly rally to the cause, and the first embers of rebellion are ignited. What started as a quiet plot now threatens to erupt into full-scale conflict, as the supporters of the Stuart dynasty prepare to strike back against their oppressors. The time for restoration is upon them—the kingdom holds its breath for what is to come;x;
EVTOPTA71;Great! God save the King!;x;
EVTNAME72;The Republic Triumph;x;
EVTDESC72;The liberty won. Today the opressors look crestfallen at the floor, instead Cromwell's faction. The war is over. "The Liberty Won!"-The pepole shouted-. There's gonna be dificult times for England, but, the English pepole got their objective...;x;
EVTOPTA72;Long Live the Mancomunity!;x;
EVTNAME73;The Monarchist Triumph!;x;
EVTDESC73;Today, a bad day for the freedom...In the France, the monarchists gang of Louis XIV destroyed the revolution of le Fronde. "The winners write the history"-Thomas Hobbes. Now all the revolutionaries are in the statal prisions under a exhaustive vigilance.;x;
EVTOPTA73;Long live the King!;x;
EVTNAME74;The Revolutionary Triumph!;x;
EVTDESC74;Today, a bad day for the absolutism...In the France, the revolutionaries winned the battle, an important step for the next generation revolutionaries. The French expansionism is exagerated in this Faction, so, it's probably that this revolutionaries want to extend their revolution and the French culture to other regions. Could be te correct word is "impose" and not "extend"...;x;
EVTOPTA74;Long Live the Fronde, Hurra!!;x;
EVTNAME75;Louis XIV Decapitation;x;
EVTDESC75;Today, the revolutionaries burst into the royal palace and kidnapped the King!-Louis XIV-After this, they transferred him to the Louvre and -with all the revolutionaries looking- decapited the King Sun! All is lost! The fall of the French Kingdom?;x;
EVTOPTA75;All is lost...;x;
EVTNAME76;The Fall of the Braganza;x;
EVTDESC76;The Imperial troops broke in Lisbon, and stopped all the tries of revive the Braganza's insurrection or finance any type of invasion by France. This troops burned the Royal palace. This is the end of the Portuguese restoration war?;x;
EVTOPTA76;Long live Spain;x;
EVTNAME77;Drums of War;x;
EVTDESC77;$COUNTRY_ADJ$ pepole is at war. We need the help of the entire nation. Time to fight! For the nation!;x;
EVTOPTA77;Long live the $COUNTRY_ADJ$ pepole;x;
EVTOPTB77;I think is not a good idea...;x;
EVTNAME78;For a Free Moldavia!;x;
EVTDESC78;A group of drunk Moldavians killed an Ottoman ejecutive shooting him with a bullet. After that they shouted: "Long live Moldavia, out the bad governement!". And lots and lots of Moldavians united the revolt. As the central government of Moldavia, what we should do?;x;
EVTOPTA78;What? No!, we gonna stand faithfull to the Ottoman Government!;x;
EVTOPTB78;Long live a FREE Moldavia!;x;
